CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
E416236120,CC,Volkswagen,2010,97000
I360343872,Q7,Audi,2007,62274
J503687953,Silverado 1500,Chevrolet,2002,54658
X630514221,Pathfinder,Nissan,2000,14994
F551207015,Legacy,Subaru,1997,5899
U856779585,Escalade,Cadillac,2007,37469
V273768845,GTI,Volkswagen,1997,34293
S519706026,Monte Carlo,Chevrolet,1996,71895
Y125569074,S8,Audi,2001,91553
P106175241,Grand Voyager,Chrysler,2000,74463
S615175481,IS F,Lexus,2009,95253
R434024007,Celica,Toyota,1982,57731
J336846548,Sentra,Nissan,1994,75857
J418528018,9000,Saab,1990,26677
V939293347,100,Audi,1990,58212
P076683845,XC70,Volvo,2005,74550
U746464520,Yukon XL 2500,GMC,2002,20538
L009827803,A8,Audi,1999,79751
X202571655,Frontier,Nissan,2002,66020
H046103017,Miata MX-5,Mazda,1994,30934
A522201349,F-250 Super Duty,Ford,2006,55772
H712081950,300CE,Mercedes-Benz,1993,59267
O416910393,LHS,Chrysler,2000,87231
M031182051,Cavalier,Chevrolet,1998,70058
V976503205,Silverado 3500,Chevrolet,2003,29538
B108966756,XLR,Cadillac,2004,17055
W196158550,Cobalt,Chevrolet,2007,55862
X585073462,7 Series,BMW,2008,7755
U478759633,Ram 2500 Club,Dodge,1995,76583
Z843725805,DeVille,Cadillac,1995,38141
B712590686,Continental,Bentley,2007,69272
D869691540,S10 Blazer,Chevrolet,1993,50188
C322478798,Truck,Mitsubishi,1990,52240
Q812153880,Aurora,Oldsmobile,1996,89905
V692936268,G,Infiniti,2002,6551
N026238331,Breeze,Plymouth,1996,38282
P344372248,Jetta,Volkswagen,1984,68880
V654023874,Montana,Pontiac,2004,50048
Y679774316,SJ,Suzuki,1989,29847
K225206857,Solara,Toyota,2001,9081
R496337423,G35,Infiniti,2008,95653
S237498588,GranTurismo,Maserati,2011,99463
B412319491,Uplander,Chevrolet,2006,52608
D355172214,Continental Mark VII,Lincoln,1992,88072
X929913025,SVX,Subaru,1994,7417
H934506784,Corvette,Chevrolet,1953,13246
B596010585,Intrepid,Dodge,1995,74601
V009756390,Caliber,Dodge,2008,31426
E760464132,Prius,Toyota,2002,17401
B926012714,Grand Cherokee,Jeep,2002,76649
G839876833,Range Rover,Land Rover,2001,48225
U619940269,Titan,Nissan,2012,19491
G527056299,Esprit,Lotus,1995,24099
L202517814,EXP,Ford,1984,75237
X267098210,Crown Victoria,Ford,1993,40152
U209091803,Prelude,Honda,2000,69150
V975968065,SX4,Suzuki,2007,32927
W082186166,Escalade EXT,Cadillac,2006,38737
G000681706,525,BMW,2003,46449
L711332597,Sunbird,Pontiac,1986,90360
H279433746,Corvette,Chevrolet,2000,54608
C735796946,Continental GTC,Bentley,2009,61908
R426202523,Camry,Toyota,1993,82312
Y762384776,Envoy,GMC,2007,39208
C354139451,Escalade,Cadillac,2005,91073
V326909109,Legacy,Subaru,2008,95875
G494480897,EXP,Ford,1986,68311
Q465337521,Electra,Buick,1988,5237
S163228563,Outback,Subaru,2008,82573
E586883729,Terrain,GMC,2011,69020
A859892361,Mystique,Mercury,1997,6693
I401554715,V70,Volvo,2003,97820
D071028054,Yaris,Toyota,2011,2455
O017734215,E-Series,Ford,2012,56487
C674997938,LSS,Oldsmobile,1999,97700
H759525329,Grand Cherokee,Jeep,2000,15474
A530843068,Yukon XL 1500,GMC,2005,17957
S114659795,Caliber,Dodge,2012,28252
E419877968,CX-7,Mazda,2007,4425
N409894426,Thunderbird,Ford,1993,66809
B009081501,Celica,Toyota,1978,96874
X474983296,A8,Audi,2000,56550
D577914393,9-7X,Saab,2007,36358
L697478286,E-Series,Ford,1987,43067
I478204120,Dakota,Dodge,1993,84741
C703205761,Sidekick,Suzuki,1989,95826
V792244139,SC,Lexus,1995,54340
S278275322,Vandura 2500,GMC,1994,78095
G200993494,Fusion,Ford,2009,32657
P045994603,RL,Acura,2012,46150
U916009370,Caravan,Dodge,1995,95946
V759210313,Escape,Ford,2000,41164
A963657027,Sable,Mercury,1987,58832
K937818960,SL-Class,Mercedes-Benz,1999,33361
X284522419,Land Cruiser,Toyota,2013,30329
Z453800079,GT350,Shelby,1969,45727
A428223160,M-Class,Mercedes-Benz,2004,81543
I771267831,Armada,Nissan,2008,59575
H190138946,612 Scaglietti,Ferrari,2009,5900
U100508241,B-Series Plus,Mazda,2004,10366
J988105800,Colorado,Chevrolet,2006,47509
O013787173,Explorer Sport Trac,Ford,2010,46374
J986788961,XC90,Volvo,2008,77778
J701990573,Ranger,Ford,1989,96426
S679650716,V70,Volvo,2003,56394
C934160051,CL-Class,Mercedes-Benz,2003,61244
Q458956598,200SX,Nissan,1996,14634
A394427437,Achieva,Oldsmobile,1993,28371
W930598891,Cayman,Porsche,2006,9241
Y803919365,3500 Club Coupe,GMC,1997,39886
W090378714,Mark VIII,Lincoln,1995,37717
I367070884,Charger,Dodge,2009,1978
W802523885,928,Porsche,1988,92852
C141031250,Falcon,Ford,1966,82588
S281734366,940,Volvo,1993,76351
G324051901,MPV,Mazda,1989,72207
J591448035,Z4,BMW,2006,28038
P069744749,G8,Pontiac,2008,70508
J481184942,Esteem,Suzuki,2001,38985
K461643029,Cavalier,Chevrolet,1993,6608
G342174882,Odyssey,Honda,2012,62583
G864368009,SJ,Suzuki,1985,8078
D197202718,F250,Ford,1995,47832
Y377677943,LS,Lexus,1997,36138
Q617838948,PT Cruiser,Chrysler,2005,8290
L548847624,Grand Prix,Pontiac,1994,88184
F547931235,Tracer,Mercury,1997,79316
Z316352447,944,Porsche,1988,75099
Q087540450,Classic,Rambler,1963,95669
L625555958,750,BMW,2006,22943
L129951737,GL-Class,Mercedes-Benz,2007,41397
N297442831,Topaz,Mercury,1990,88967
Y750218843,Maxima,Nissan,1994,95047
W349318845,Diamante,Mitsubishi,2000,71453
P375150860,Sequoia,Toyota,2003,74897
H874254238,Grand Vitara,Suzuki,2009,84819
D502344825,Beretta,Chevrolet,1996,5306
W613868889,Caliber,Dodge,2007,15049
P594140203,Corvette,Chevrolet,1993,35065
Y620056747,RL,Acura,2012,90061
J824717077,SJ,Suzuki,1989,43511
W067259563,Cube,Nissan,2010,39450
R507837384,911,Porsche,1992,2346
V694767313,Cooper Countryman,MINI,2012,36486
J459695717,Arnage,Bentley,2005,31432
J208362703,Rodeo,Isuzu,2002,76375
L064252327,3000GT,Mitsubishi,1994,49708
M936349617,Scirocco,Volkswagen,1988,56382
S548167716,Bonneville,Pontiac,2004,46645
H058243345,Q7,Audi,2011,2850
K308936043,Quattroporte,Maserati,2012,20698
B881672841,IS,Lexus,2006,88566
R218407043,TL,Acura,2002,93553
X440137900,Rendezvous,Buick,2002,68466
B827122311,E-Series,Ford,1985,76535
J249398227,Yukon,GMC,2013,60110
D628422620,Express 2500,Chevrolet,2003,92520
U852114824,GTI,Volkswagen,2001,95754
T389291706,Corsica,Chevrolet,1996,52656
N791379556,Odyssey,Honda,2007,56993
E109539774,xB,Scion,2009,79845
E393636788,LR2,Land Rover,2008,19285
C629471860,Savana 1500,GMC,1996,16282
M787214515,Prelude,Honda,1985,39302
M121893106,Quattroporte,Maserati,2005,42688
K955738682,Titan,Nissan,2012,75600
U275027785,Continental,Bentley,2012,48797
T461362768,CC,Volkswagen,2009,31745
S731438872,Ram Van B150,Dodge,1992,10754
I415029488,Montana,Pontiac,1999,53367
T004746867,E250,Ford,2003,57288
X035994475,CL-Class,Mercedes-Benz,2004,62160
M295777717,Kizashi,Suzuki,2010,67119
N404440831,Sienna,Toyota,2012,82376
P659308190,Voyager,Chrysler,2003,36794
N038879138,Bravada,Oldsmobile,1994,27306
I392614665,Suburban 2500,Chevrolet,2004,96794
I966217324,Ranger,Ford,1996,33124
U333873815,MX-5,Mazda,2000,46236
J246906828,E150,Ford,2003,7672
D323484151,Rapide,Aston Martin,2010,53717
A375282404,Murano,Nissan,2007,10456
J105588407,2500 Club Coupe,GMC,1993,94394
Y608546188,1 Series,BMW,2009,19327
N704025117,Element,Honda,2008,32944
Q023111008,Skylark,Buick,1985,85125
R646351455,GTO,Pontiac,1973,56484
U447421969,Silverado 1500,Chevrolet,2012,34266
R640381254,XLR-V,Cadillac,2008,65433
T052423740,S90,Volvo,1998,41444
P856666937,Town Car,Lincoln,1989,93637
G328613803,Rondo,Kia,2010,77310
Q816180360,Cruze,Chevrolet,2011,45582
E503476561,Passat,Volkswagen,2000,62858
M044990311,Metro,Geo,1994,21087
H272674926,E-Class,Mercedes-Benz,1995,23125
Z285300382,Escalade EXT,Cadillac,2006,80822
Q837617088,Ram 3500,Dodge,2004,82116
E098596753,Sparrow,Corbin,2004,43795
I055752143,FJ Cruiser,Toyota,2010,19404
X045089534,Elantra,Hyundai,2004,99309
R761033365,88,Oldsmobile,1993,33355
D972777330,Monterey,Mercury,2004,47094
J163835691,300SD,Mercedes-Benz,1993,38800
E531306772,LS,Lexus,1998,49763
C851914685,NSX,Acura,2005,90410
H366285964,Pathfinder,Nissan,2000,72982
D334843790,Mustang,Ford,2008,45526
T227878931,E-Class,Mercedes-Benz,2000,25864
B501314130,Savana 2500,GMC,1998,22841
D265083640,Mirage,Mitsubishi,1989,55782
V636484997,H2,Hummer,2007,21833
H471979902,Cooper,MINI,2005,58476
M821896929,Spyder,Maserati,2002,88942
Z364749156,GS,Lexus,1998,58999
V564729052,RSX,Acura,2002,76571
N616850476,Econoline E150,Ford,1997,42092
L973840961,GTO,Mitsubishi,1993,12849
J144524728,Altima,Nissan,1998,61921
B193583071,Impreza,Subaru,2001,2867
G237831995,Fusion,Ford,2012,41788
S080976899,Taurus,Ford,1989,29460
P266051410,Endeavor,Mitsubishi,2009,89605
S109919245,xA,Scion,2004,54587
Q314039308,C70,Volvo,2004,99395
C924197710,Camaro,Chevrolet,2000,88740
I552626187,SLK-Class,Mercedes-Benz,2005,26241
Y647263053,Tiburon,Hyundai,2006,57927
H698609840,Montero,Mitsubishi,1995,93633
L772416194,E350,Ford,2008,24356
E557710089,Sonoma,GMC,1994,73985
L639797549,4000CS Quattro,Audi,1987,51289
A187252648,STS,Cadillac,2008,70600
X689604228,Charger,Dodge,2009,47481
F395226791,XC60,Volvo,2012,73215
V174012178,Crosstour,Honda,2012,84515
E564242080,S10,Chevrolet,2002,93566
D684254753,Suburban 2500,Chevrolet,1995,29349
A062238589,Monterey,Pontiac,2005,21291
O083089250,Silverado 2500,Chevrolet,2004,6615
N928738164,del Sol,Honda,1993,39797
D253848129,911,Porsche,2006,33377
P402949111,Crown Victoria,Ford,2005,1215
S349033837,Crown Victoria,Ford,2009,92229
H868977593,Durango,Dodge,2005,78547
B280839011,9-7X,Saab,2006,13437
X466269706,Monte Carlo,Chevrolet,2002,46350
Q842340494,E-Series,Ford,2004,23868
Q308503382,Ciera,Oldsmobile,1992,93213
K607672317,Colt,Plymouth,1993,11461
P572421663,2500,Chevrolet,1998,53646
K267174796,MX-6,Mazda,1993,55945
X465504109,Yukon,GMC,1993,71038
T537428820,GTI,Volkswagen,1986,96616
H641867464,Fleetwood,Cadillac,1995,59591
F284470368,Legacy,Subaru,1992,56414
J939834447,Navigator L,Lincoln,2007,14589
H388880746,Tribeca,Subaru,2012,81197
N699414990,Sportage,Kia,1999,44767
K257554562,3 Series,BMW,2003,47027
V081060867,Truck,Mitsubishi,1996,12707
Y613189096,Sonoma Club,GMC,1992,71465
T721868476,Previa,Toyota,1996,81836
X008525317,Veracruz,Hyundai,2010,78319
R283112981,Thunderbird,Ford,1997,43654
Q478950074,Town & Country,Chrysler,2004,71564
Y983377644,S-Type,Jaguar,2006,81464
Z111676298,Elantra,Hyundai,2002,24270
X456524552,Grand Cherokee,Jeep,2002,43272
S985842030,LR4,Land Rover,2011,82790
G751821653,Quest,Nissan,2005,87235
Z767817755,7 Series,BMW,2011,36909
U423879924,Vision,Eagle,1996,93092
I188931610,Voyager,Chrysler,2001,3652
O429949745,D150,Dodge,1992,34378
N322965559,GTI,Volkswagen,2004,50582
X583840607,A4,Audi,2011,66902
H277557026,Jimmy,GMC,1997,84661
C392635865,Estate,Buick,1989,31279
R387194641,Odyssey,Honda,1996,28974
W959985818,Malibu,Chevrolet,2007,2108
S322632934,Grand Prix,Pontiac,1999,97470
Z481587809,Miata MX-5,Mazda,2008,96157
W786739681,Grand Prix,Pontiac,1975,46156
U307822113,E150,Ford,2008,64614
R041398363,Grand Vitara,Suzuki,2002,90472
G038857628,Tracker,Chevrolet,2000,69221
Q278043142,Grand Prix,Pontiac,1965,54235
M175413014,Liberty,Jeep,2004,39202
G342458673,RAV4,Toyota,2003,60509
K332975859,S-Type,Jaguar,2007,91542
N413981384,1500,GMC,1996,17419
R785463308,Gran Sport,Maserati,2005,5875
C066426654,Excursion,Ford,2005,44853
G068143645,Equator,Suzuki,2009,80348
F031011946,H1,Hummer,2000,66033
I222977305,Ram 1500 Club,Dodge,1998,68321
Z577042189,Escape,Ford,2010,50190
R621310557,Ghost,Rolls-Royce,2010,51023
X198130283,Camaro,Chevrolet,1979,74681
G773004001,Camaro,Chevrolet,2000,97864
P130900089,Cabriolet,Audi,1997,38787
O579326313,626,Mazda,1993,72585
L952814891,TrailBlazer,Chevrolet,2005,39756
C387073747,Dakota,Dodge,1996,50605
G564981373,Navigator L,Lincoln,2009,25317
H560637479,Galant,Mitsubishi,1993,92143
W498388902,Bronco II,Ford,1989,23069
G067269181,Elise,Lotus,2004,23979
U251422016,F-Series,Ford,1988,52077
W877321569,Quest,Nissan,1993,7521
Q341746900,QX,Infiniti,2005,45651
C580378446,Pathfinder,Nissan,1999,24032
Q093809655,E350,Ford,2008,70746
D334472861,F350,Ford,1995,41688
J228787918,Mariner,Mercury,2011,77731
Z961516021,Grand Prix,Pontiac,2001,34341
Z420814315,Express 3500,Chevrolet,2007,66691
H679706404,Golf,Volkswagen,1992,77199
V233577817,Impreza WRX,Subaru,2011,49306
P184481475,Eldorado,Cadillac,1999,49174
D359309346,Dakota Club,Dodge,2005,61792
L593306223,tC,Scion,2012,38935
J563728144,Cabriolet,Volkswagen,2000,18189
U054392430,Phantom,Rolls-Royce,2007,20646
B774706937,Countach,Lamborghini,1988,39804
P370700128,Econoline E350,Ford,1998,49219
Q879254827,Escalade,Cadillac,2000,54690
Y457414044,Ramcharger,Dodge,1992,60691
V529827613,Sierra 3500,GMC,2006,92503
R110547385,CC,Volkswagen,2011,55765
O106134442,Bonneville,Pontiac,1993,26982
S254445347,Sportage,Kia,1999,46546
I165621762,B-Series,Mazda,2004,48735
U017871390,Xterra,Nissan,2012,17920
O737433926,Th!nk,Ford,2000,14316
L548018765,A6,Audi,1998,65658
A464492485,4000s,Audi,1986,33008
R019796129,FX,Infiniti,2012,90421
F915269550,Sprinter 3500,Mercedes-Benz,2012,3043
C513944897,Probe,Ford,1989,71313
R343248330,M,Infiniti,2003,61764
P406840697,M3,BMW,2001,25032
L755203192,Outback,Subaru,2005,18003
N673122116,RX-7,Mazda,1990,41253
N619589888,CLK-Class,Mercedes-Benz,2002,13349
C147830780,R-Class,Mercedes-Benz,2006,67892
F993116924,Continental Flying Spur,Bentley,2009,92719
F904859954,M3,BMW,2005,95044
X545846656,Ranger,Ford,2001,30041
F371726554,Grand Cherokee,Jeep,1999,48567
N023768314,Firebird,Pontiac,1993,33422
N298424201,Range Rover,Land Rover,2012,96687
D601820325,C-Class,Mercedes-Benz,2002,46217
C697522381,Countach,Lamborghini,1988,77421
N542134164,Leganza,Daewoo,2002,34264
Q482527530,Versa,Nissan,2008,34799
Y657582121,Firefly,Pontiac,1985,98160
M089715206,Monza,Chevrolet,1975,30590
A771118847,Savana 3500,GMC,2012,10984
O447400777,RAV4,Toyota,2000,15752
G698078791,Galant,Mitsubishi,1986,22257
P137288919,iQ,Scion,2012,45606
M769971469,Astra,Saturn,2008,86500
C940293050,Monterey,Mercury,2007,31655
D704085572,7 Series,BMW,2000,33414
Z654397066,S-Class,Mercedes-Benz,1996,19183
J670240229,Familia,Mazda,1987,22844
R072011682,Tempo,Ford,1986,77168
J531483354,B-Series,Mazda,2003,65408
N983688128,911,Porsche,2007,44705
X330202580,Outlander Sport,Mitsubishi,2011,99398
E158538577,Century,Buick,1994,89869
O084543740,Monte Carlo,Chevrolet,2002,14192
E682098546,Challenger,Mitsubishi,1997,43719
X534041912,Excel,Mitsubishi,1987,14933
N367730150,Astro,Chevrolet,2000,16144
H751822348,Sonoma,GMC,1995,83789
N248008205,Rodeo,Isuzu,2002,69880
E868627930,W201,Mercedes-Benz,1989,26614
I047769063,Echo,Toyota,2001,2154
M970570160,Commander,Jeep,2006,68797
Q859363211,Charger,Dodge,2010,90430
I233398397,Topaz,Mercury,1988,45506
Q492387292,Savana 3500,GMC,1998,20912
D979609320,Bonneville,Pontiac,1995,56605
X876481205,Sierra,GMC,2010,67950
V229244274,Durango,Dodge,1999,89722
C514561183,200SX,Nissan,1998,65431
N116385652,Sportage,Kia,2006,81368
M297455007,Galant,Mitsubishi,2006,45219
A579331434,Accord,Honda,2009,7462
D709233937,H1,Hummer,2003,87160
Y997801125,Eos,Volkswagen,2011,50262
V449805327,Verona,Suzuki,2006,89937
B368113234,LeSabre,Buick,1991,89498
P889322665,Sierra,GMC,2010,19783
G203716806,MPV,Mazda,2002,35533
A961791986,Eos,Volkswagen,2008,14565
J510854278,Boxster,Porsche,2000,36649
J047344802,F250,Ford,2003,99245
L812258544,FX,Infiniti,2012,44205
D831672702,Mustang,Ford,1997,59879
A166466904,Eclipse,Mitsubishi,2004,66844
Z456199354,riolet,Volkswagen,1992,32363
K176351643,E-Class,Mercedes-Benz,2009,84184
B830436233,Mazda2,Mazda,2012,31801
Y891964551,CLK-Class,Mercedes-Benz,1999,35537
A160956704,Riviera,Buick,1996,1003
B636744337,CL-Class,Mercedes-Benz,2001,11982
D385016778,Eos,Volkswagen,2011,79024
K026812491,3 Series,BMW,2004,23098
R570139158,Range Rover Classic,Land Rover,1993,88723
E135681803,A4,Audi,2002,99736
P305890338,Passport,Honda,1999,84311
T591395282,Reatta,Buick,1991,93532
W289008589,Z4 M Roadster,BMW,2009,38323
P150846934,S4,Audi,1992,26457
A271805116,Outlander,Mitsubishi,2009,72865
E175357140,Landaulet,Maybach,2011,73501
S044186662,Econoline E150,Ford,2000,21032
Q123892172,Continental Flying Spur,Bentley,2006,93745
Z555199505,M-Class,Mercedes-Benz,2008,40625
J904333374,S-Series,Saturn,2002,8430
E784009968,LX,Lexus,2013,96774
W912619559,Savana,GMC,2009,80197
K812261493,Savana 3500,GMC,2002,23497
O954427916,Terrain,GMC,2011,55931
Q665259191,MX-6,Mazda,1989,36568
M725356266,Excel,Mitsubishi,1989,50606
Y863676763,Neon,Plymouth,1997,41036
Y650564949,Seville,Cadillac,2003,99416
I410742576,Avenger,Dodge,1996,76324
T512271460,Passat,Volkswagen,1986,69310
H779862592,62,Maybach,2003,46923
G260010171,Express 1500,Chevrolet,1996,37813
O662109539,Allroad,Audi,2005,3182
K705268659,Yukon XL 2500,GMC,2010,22863
N957741097,Miata MX-5,Mazda,2006,73323
M091697924,G-Series 2500,Chevrolet,1996,13846
F156774610,Lumina APV,Chevrolet,1993,62132
O567866364,Fox,Volkswagen,1988,6173
I766548012,Eos,Volkswagen,2007,77347
V018744775,Laser,Ford,1989,75858
L670984596,XK Series,Jaguar,2004,64724
Z818185168,Impala,Chevrolet,2008,42843
A106911266,Grand Cherokee,Jeep,2008,84237
T944059683,Corolla,Toyota,1998,83954
J475235034,Maxima,Nissan,1994,71451
N799018644,Galant,Mitsubishi,1988,3400
M273259450,Legacy,Subaru,1991,88840
H926509436,RAV4,Toyota,2011,1317
E877136034,Town Car,Lincoln,1993,62303
X031594423,LS,Lexus,1999,58712
U651912698,Avalon,Toyota,2001,88763
S196022330,Milan,Mercury,2008,10228
Y607686841,Mark LT,Lincoln,2006,26079
R875274234,Boxster,Porsche,2010,46660
Q207875557,Mustang,Ford,2000,66478
V979902429,Tracker,Chevrolet,1998,89537
G331029936,Mark VIII,Lincoln,1994,59686
B759969052,Brat,Subaru,1986,27962
L305935200,Capri,Mercury,1984,68283
B777151844,A8,Audi,2006,55372
A741260267,Tribute,Mazda,2009,68521
W382416244,Eos,Volkswagen,2010,11079
X731744938,Colt,Plymouth,1994,17645
H226558190,XC70,Volvo,2005,12767
B505558550,E350,Ford,2003,72809
I797105086,Dakota Club,Dodge,1999,19899
T388631991,F150,Ford,2000,29779
G130724118,Aerostar,Ford,1997,57872
O746368510,Solara,Toyota,2004,92799
Y181160307,LTD Crown Victoria,Ford,1986,7671
B373298949,Century,Buick,1999,18321
F639289905,Sonoma,GMC,2003,53492
H467769619,Viper,Dodge,2004,54344
W117456739,Paseo,Toyota,1997,54409
K099270521,Colt Vista,Plymouth,1993,41948
N774181426,Envoy,GMC,2008,37483
J874284101,2500,GMC,1993,31424
W482750447,228,Maserati,1989,77706
W063270526,Daewoo Magnus,Suzuki,2006,12659
