"CAR_ID","CAR_NAME","CAR_MAKE_YEAR","CAR_PRICE","CAR_MAKER_CODE"
N409894426,Thunderbird,1993,39566,WS-5-427
B009081501,Celica,1978,60612,WC-4-695
X474983296,A8,2000,32385,"9W-4-104"
D577914393,"9-7X",2007,18251,ZC-1-153
L697478286,E-Series,1987,22947,WS-5-427
I478204120,Dakota,1993,52119,VT-2-774
C703205761,Sidekick,1989,59878,"73-8-545"
V792244139,SC,1995,30838,"4V-8-237"
S278275322,Vandura 2500,1994,47467,BW-0-739
G200993494,Fusion,2009,15660,WS-5-427
P045994603,RL,2012,25105,"1S-9-185"
U916009370,Caravan,1995,59962,VT-2-774
V759210313,Escape,2000,21615,WS-5-427
A963657027,Sable,1987,33982,AC-9-820
K937818960,SL-Class,1999,16153,NQ-7-363
X284522419,Land Cruiser,2013,14030,WC-4-695
Z453800079,GT350,1969,24809,"6B-9-528"
A428223160,M-Class,2004,49880,NQ-7-363
I771267831,Armada,2008,34503,ZU-3-273
H190138946,"612 Scaglietti",2009,4130,"9M-9-869"
U100508241,B-Series Plus,2004,5156,YA-6-313
J988105800,Colorado,2006,26056,AM-3-689
O013787173,Explorer Sport Trac,2010,25262,WS-5-427
J986788961,XC90,2008,47245,"4C-1-283"
J701990573,Ranger,1989,60298,WS-5-427
S679650716,V70,2003,32276,"4C-1-283"
C934160051,CL-Class,2003,35671,NQ-7-363
Q458956598,"200SX",1996,6044,ZU-3-273
A394427437,Achieva,1993,12660,G1-1-795
W930598891,Cayman,2006,6469,"28-6-706"
Y803919365,"3500 Club Coupe",1997,20720,BW-0-739
W090378714,Mark VIII,1995,19202,NH-4-742
I367070884,Charger,2009,1385,VT-2-774
W802523885,"928",1988,57796,"28-6-706"
C141031250,Falcon,1966,50612,WS-5-427
S281734366,"940",1993,46246,"4C-1-283"
G324051901,MPV,1989,43345,YA-6-313
J591448035,Z4,2006,12427,"8M-8-354"
P069744749,G8,2008,42156,"6K-2-796"
J481184942,Esteem,2001,20090,"73-8-545"
K461643029,Cavalier,1993,4626,AM-3-689
G342174882,Odyssey,2012,36608,EM-4-254
G864368009,SJ,1985,5655,"73-8-545"
D197202718,F250,1995,26282,WS-5-427
Y377677943,LS,1997,18097,"4V-8-237"
Q617838948,PT Cruiser,2005,5803,IV-1-382
L548847624,Grand Prix,1994,54529,"6K-2-796"
F547931235,Tracer,1997,48321,AC-9-820
Z316352447,"944",1988,45369,"28-6-706"
L625555958,"750",2006,8860,"8M-8-354"
L129951737,GL-Class,2007,21778,NQ-7-363
N297442831,Topaz,1990,55077,AC-9-820
Y750218843,Maxima,1994,59333,ZU-3-273
P375150860,Sequoia,2003,45228,WC-4-695
H874254238,Grand Vitara,2009,52173,"73-8-545"
D502344825,Beretta,1996,3714,AM-3-689
P594140203,Corvette,1993,17346,AM-3-689
Y620056747,RL,2012,55843,"1S-9-185"
J824717077,SJ,1989,23258,"73-8-545"
R507837384,"911",1992,1642,"28-6-706"
V694767313,Cooper Countryman,2012,18340,YG-5-396
J459695717,Arnage,2005,14802,"0R-7-707"
L064252327,"3000GT",1994,27596,KS-8-136
M936349617,Scirocco,1988,32267,J6-5-677
S548167716,Bonneville,2004,25452,"6K-2-796"
K308936043,Quattroporte,2012,7289,"36-8-788"
B881672841,IS,2006,54796,"4V-8-237"
R218407043,TL,2002,58287,"1S-9-185"
B827122311,E-Series,1985,46375,WS-5-427
J249398227,Yukon,2013,34877,BW-0-739
D628422620,Express 2500,2003,57564,AM-3-689
T389291706,Corsica,1996,29659,AM-3-689
N791379556,Odyssey,2007,32695,EM-4-254
E109539774,xB,2009,48692,"2Y-4-230"
C629471860,Savana 1500,1996,7197,BW-0-739
M787214515,Prelude,1985,20311,EM-4-254
M121893106,Quattroporte,2005,22682,"36-8-788"
U275027785,Continental,2012,26958,"0R-7-707"
T461362768,CC,2009,15022,J6-5-677
S731438872,Ram Van B150,1992,5428,VT-2-774
T004746867,E250,2003,32902,WS-5-427
X035994475,CL-Class,2004,36312,NQ-7-363
M295777717,Kizashi,2010,39783,"73-8-545"
N404440831,Sienna,2012,50463,WC-4-695
N038879138,Bravada,1994,11914,G1-1-795
I392614665,Suburban 2500,2004,60556,AM-3-689
I966217324,Ranger,1996,15987,WS-5-427
J246906828,E150,2003,5370,WS-5-427
D323484151,Rapide,2010,30402,LO-7-593
A375282404,Murano,2007,5219,ZU-3-273
Y608546188,"1 Series",2009,9329,"8M-8-354"
N704025117,Element,2008,15861,EM-4-254
Q023111008,Skylark,1985,52388,H3-5-417
U447421969,Silverado 1500,2012,16786,AM-3-689
R640381254,XLR-V,2008,38603,NO-0-531
T052423740,S90,1998,21811,"4C-1-283"
G328613803,Rondo,2010,46917,JF-8-150
Q816180360,Cruze,2011,24707,AM-3-689
E503476561,Passat,2000,36801,J6-5-677
M044990311,Metro,1994,7561,KQ-7-666
Z285300382,Escalade EXT,2006,49375,NO-0-531
Q837617088,Ram 3500,2004,50281,VT-2-774
E098596753,Sparrow,2004,23457,Q2-4-371
I055752143,FJ Cruiser,2010,9383,WC-4-695
R761033365,"88",1993,16149,G1-1-795
D972777330,Monterey,2004,25766,AC-9-820
J163835691,"300SD",1993,19960,NQ-7-363
E531306772,LS,1998,27634,"4V-8-237"
C851914685,NSX,2005,56087,"1S-9-185"
H366285964,Pathfinder,2000,43887,ZU-3-273
D334843790,Mustang,2008,24668,WS-5-427
T227878931,E-Class,2000,10905,NQ-7-363
B501314130,Savana 2500,1998,8789,BW-0-739
D265083640,Mirage,1989,31847,KS-8-136
V636484997,H2,2007,8083,"69-6-389"
H471979902,Cooper,2005,33733,YG-5-396
M821896929,Spyder,2002,55059,"36-8-788"
Z364749156,GS,1998,34099,"4V-8-237"
V564729052,RSX,2002,46400,"1S-9-185"
N616850476,Econoline E150,1997,22264,WS-5-427
L973840961,GTO,1993,6894,KS-8-136
J144524728,Altima,1998,36145,ZU-3-273
B193583071,Impreza,2001,2007,T4-7-348
G237831995,Fusion,2012,22052,WS-5-427
S080976899,Taurus,1989,13422,WS-5-427
P266051410,Endeavor,2009,55524,KS-8-136
S109919245,xA,2004,31011,"2Y-4-230"
Q314039308,C70,2004,62377,"4C-1-283"
C924197710,Camaro,2000,54918,AM-3-689
I552626187,SLK-Class,2005,11169,NQ-7-363
Y647263053,Tiburon,2006,33349,YR-6-654
H698609840,Montero,1995,58343,KS-8-136
L772416194,E350,2008,9849,WS-5-427
E557710089,Sonoma,1994,44590,BW-0-739
L639797549,"4000CS Quattro",1987,28702,"9W-4-104"
A187252648,STS,2008,42220,NO-0-531
X689604228,Charger,2009,26037,VT-2-774
F395226791,XC60,2012,44051,"4C-1-283"
V174012178,Crosstour,2012,51961,EM-4-254
E564242080,S10,2002,58296,AM-3-689
D684254753,Suburban 2500,1995,13344,AM-3-689
A062238589,Monterey,2005,7704,"6K-2-796"
O083089250,Silverado 2500,2004,4631,AM-3-689
N928738164,del Sol,1993,20658,EM-4-254
D253848129,"911",2006,16164,"28-6-706"
P402949111,Crown Victoria,2005,851,WS-5-427
S349033837,Crown Victoria,2009,57360,WS-5-427
H868977593,Durango,2005,47783,VT-2-774
B280839011,"9-7X",2006,5206,ZC-1-153
X466269706,Monte Carlo,2002,25245,AM-3-689
Q842340494,E-Series,2004,9508,WS-5-427
Q308503382,Ciera,1992,58049,G1-1-795
K607672317,Colt,1993,5923,"1Z-6-878"
P572421663,"2500",1998,30352,AM-3-689
K267174796,MX-6,1993,31962,YA-6-313
X465504109,Yukon,1993,42527,BW-0-739
T537428820,GTI,1986,60431,J6-5-677
H641867464,Fleetwood,1995,34514,NO-0-531
F284470368,Legacy,1992,32290,T4-7-348
J939834447,Navigator L,2007,6012,NH-4-742
H388880746,Tribeca,2012,49638,T4-7-348
N699414990,Sportage,1999,24137,JF-8-150
K257554562,"3 Series",2003,25719,"8M-8-354"
V081060867,Truck,1996,6795,KS-8-136
Y613189096,Sonoma Club,1992,42826,BW-0-739
T721868476,Previa,1996,50085,WC-4-695
X008525317,Veracruz,2010,47623,YR-6-654
R283112981,Thunderbird,1997,23358,WS-5-427
Q478950074,Town & Country,2004,42895,IV-1-382
Y983377644,S-Type,2006,49825,"7V-2-415"
Z111676298,Elantra,2002,9789,YR-6-654
S985842030,LR4,2011,50753,MK-1-473
G751821653,Quest,2005,53865,ZU-3-273
Z767817755,"7 Series",2011,18636,"8M-8-354"
U423879924,Vision,1996,57964,LH-0-700
I188931610,Voyager,2001,2556,IV-1-382
O429949745,D150,1992,16865,VT-2-774
N322965559,GTI,2004,28207,J6-5-677
X583840607,A4,2011,39631,"9W-4-104"
H277557026,Jimmy,1997,52063,BW-0-739
C392635865,Estate,1989,14695,H3-5-417
R387194641,Odyssey,1996,13082,EM-4-254
W959985818,Malibu,2007,1476,AM-3-689
S322632934,Grand Prix,1999,61029,"6K-2-796"
Z481587809,Miata MX-5,2008,60110,YA-6-313
W786739681,Grand Prix,1975,25109,"6K-2-796"
U307822113,E150,2008,38030,WS-5-427
R041398363,Grand Vitara,2002,56130,"73-8-545"
G038857628,Tracker,2000,41255,AM-3-689
Q278043142,Grand Prix,1965,30765,"6K-2-796"
G342458673,RAV4,2003,35156,WC-4-695
K332975859,S-Type,2007,56879,"7V-2-415"
N413981384,"1500",1996,7993,BW-0-739
R785463308,Gran Sport,2005,4113,"36-8-788"
C066426654,Excursion,2005,24197,WS-5-427
G068143645,Equator,2009,49044,"73-8-545"
F031011946,H1,2000,39023,"69-6-389"
I222977305,Ram 1500 Club,1998,40625,VT-2-774
Z577042189,Escape,2010,27933,WS-5-427
R621310557,Ghost,2010,28516,WB-2-144
X198130283,Camaro,1979,45077,AM-3-689
G773004001,Camaro,2000,61305,AM-3-689
P130900089,Cabriolet,1997,19951,"9W-4-104"
O579326313,"626",1993,43610,YA-6-313
L952814891,TrailBlazer,2005,20629,AM-3-689
C387073747,Dakota,1996,28224,VT-2-774
G564981373,Navigator L,2009,10522,NH-4-742
H560637479,Galant,1993,57300,KS-8-136
W498388902,Bronco II,1989,8948,WS-5-427
G067269181,Elise,2004,9585,CX-4-798
U251422016,F-Series,1988,29254,WS-5-427
W877321569,Quest,1993,5265,ZU-3-273
Q341746900,QX,2005,24756,"25-0-342"
C580378446,Pathfinder,1999,9622,ZU-3-273
Q093809655,E350,2008,42322,WS-5-427
D334472861,F350,1995,21982,WS-5-427
J228787918,Mariner,2011,47212,AC-9-820
Z961516021,Grand Prix,2001,16839,"6K-2-796"
Z420814315,Express 3500,2007,39484,AM-3-689
H679706404,Golf,1992,46839,J6-5-677
V233577817,Impreza WRX,2011,27314,T4-7-348
D359309346,Dakota Club,2005,36054,VT-2-774
L593306223,tC,2012,20055,"2Y-4-230"
J563728144,Cabriolet,2000,8532,J6-5-677
U054392430,Phantom,2007,7252,WB-2-144
P370700128,Econoline E350,1998,27253,WS-5-427
Q879254827,Escalade,2000,31083,NO-0-531
Y457414044,Ramcharger,1992,35284,VT-2-774
R110547385,CC,2011,31836,J6-5-677
O106134442,Bonneville,1993,11687,"6K-2-796"
S254445347,Sportage,1999,25382,JF-8-150
I165621762,B-Series,2004,26915,YA-6-313
O737433926,Th!nk,2000,5821,WS-5-427
L548018765,A6,1998,38761,"9W-4-104"
A464492485,"4000s",1986,15906,"9W-4-104"
F915269550,Sprinter 3500,2012,2130,NQ-7-363
C513944897,Probe,1989,42719,WS-5-427
R343248330,M,2003,36035,"25-0-342"
L755203192,Outback,2005,8402,T4-7-348
N673122116,RX-7,1990,21677,YA-6-313
C147830780,R-Class,2006,40324,NQ-7-363
F993116924,Continental Flying Spur,2009,57703,"0R-7-707"
F904859954,M3,2005,59331,"8M-8-354"
X545846656,Ranger,2001,13829,WS-5-427
N298424201,Range Rover,2012,60481,MK-1-473
D601820325,C-Class,2002,25152,NQ-7-363
C697522381,Countach,1988,46995,A1-3-856
N542134164,Leganza,2002,16785,WI-2-727
Y657582121,Firefly,1985,61512,"6K-2-796"
M089715206,Monza,1975,14213,AM-3-689
A771118847,Savana 3500,2012,5589,BW-0-739
G698078791,Galant,1986,8380,KS-8-136
P137288919,iQ,2012,24724,"2Y-4-230"
C940293050,Monterey,2007,14959,AC-9-820
D704085572,"7 Series",2000,16190,"8M-8-354"
Z654397066,S-Class,1996,9228,NQ-7-363
R072011682,Tempo,1986,46818,WS-5-427
J531483354,B-Series,2003,38586,YA-6-313
N983688128,"911",2007,24094,"28-6-706"
E158538577,Century,1994,55708,H3-5-417
O084543740,Monte Carlo,2002,5734,AM-3-689
E682098546,Challenger,1997,23403,KS-8-136
X534041912,Excel,1987,6253,KS-8-136
N367730150,Astro,2000,7101,AM-3-689
N248008205,Rodeo,2002,41716,"4W-8-811"
E868627930,W201,1989,11430,NQ-7-363
I047769063,Echo,2001,1508,WC-4-695
H050791919,Ram Van B150,1992,54691,VT-2-774
Z343039812,S60,2003,35788,"4C-1-283"
X720141976,MX-5,1997,28336,YA-6-313
F859447316,Trans Sport,1990,4236,"6K-2-796"
Z427027311,S2000,2002,13605,EM-4-254
X172086168,Azera,2008,41827,YR-6-654
H980154455,Yukon,2012,10212,BW-0-739
G097702268,Toronado,1966,58452,G1-1-795
H147602273,FR-S,2013,26802,"2Y-4-230"
Q199934293,Explorer,2002,42302,WS-5-427
D335263403,Uplander,2005,5611,AM-3-689
H718703782,Celica,2000,18702,WC-4-695
U074930583,Eclipse,2008,48261,KS-8-136
J844790487,Bonneville,1968,51909,"6K-2-796"
R577002449,Prius,2004,47604,WC-4-695
O883536140,Endeavor,2008,61994,KS-8-136
C913156248,Discovery,1994,54276,MK-1-473
G005496515,Outlander,2008,43113,KS-8-136
I229133951,F-Series,2011,29646,WS-5-427
I624082368,M-Class,1998,20155,NQ-7-363
H485021198,RL,1998,47032,"1S-9-185"
E275216887,Club Wagon,1992,11421,WS-5-427
W343692157,NSX,1994,5723,"1S-9-185"
Z816644687,Thunderbird,1997,4842,WS-5-427
L216376227,MDX,2001,25164,"1S-9-185"
X249444298,Achieva,1993,32510,G1-1-795
T104876125,LR4,2011,6787,MK-1-473
U310521655,Monaco,1992,9877,VT-2-774
I827476138,Escort,1989,59357,WS-5-427
F268410257,Camry Hybrid,2010,47266,WC-4-695
J372225192,xD,2012,6647,"2Y-4-230"
U595858761,GranTurismo,2010,31125,"36-8-788"
O959834592,Esprit,1985,10061,CX-4-798
Q508180878,Ram Van 2500,1996,3374,VT-2-774
H224677939,Astro,1995,8976,AM-3-689
N663485347,"1500",1996,5543,AM-3-689
Q930689040,GT500,2007,34558,WS-5-427
Z705795367,Protege,1997,5956,YA-6-313
H410068328,IS F,2011,36920,"4V-8-237"
W794292053,Fusion,2008,9075,WS-5-427
C903797961,Ranger,2007,36535,WS-5-427
R055372631,Pathfinder,2002,15108,ZU-3-273
E683008264,Voyager,2000,11271,"1Z-6-878"
F816983585,CLK-Class,2002,34748,NQ-7-363
C712111094,Grand Prix,1986,26477,"6K-2-796"
H978662025,Mirage,1990,28444,KS-8-136
Z883360787,"929",1990,40119,YA-6-313
G669483203,GTI,2000,6408,J6-5-677
F421084514,"5 Series",2012,6523,"8M-8-354"
G592417358,Century,1986,61278,H3-5-417
E652092210,Sonoma Club Coupe,1997,26429,BW-0-739
H881283447,Quattro,1994,47102,"9W-4-104"
Z971452495,G3,2010,50504,"6K-2-796"
M218183425,Forenza,2007,45052,"73-8-545"
Z954370207,Cavalier,1998,5227,AM-3-689
R724530208,Yukon XL 1500,2008,34703,BW-0-739
F269340860,Quest,2001,13492,ZU-3-273
X626674052,QX,2001,2563,"25-0-342"
R871939810,Explorer Sport Trac,2004,52924,WS-5-427
J972700884,Corolla,1995,19284,WC-4-695
L748250789,XJ Series,2003,26070,"7V-2-415"
V007574432,"530",2003,24976,"8M-8-354"
I716879610,GTI,2004,9717,J6-5-677
F009157358,H3T,2009,55394,"69-6-389"
Q184687158,G,2011,21856,"25-0-342"
W503511262,Escape,2004,44769,WS-5-427
A924048741,"9000",1990,9152,ZC-1-153
T347518910,Sierra 2500,2005,16735,BW-0-739
G706234991,Grand Marquis,1989,42151,AC-9-820
C652799310,Dakota,2005,20321,VT-2-774
B895279664,S5,2008,43619,"9W-4-104"
F067848925,RX-7,1989,6791,YA-6-313
G366604311,Tundra,2009,1615,WC-4-695
E481063594,Silverado 1500,2001,38047,AM-3-689
V866563551,Celica,2003,47803,WC-4-695
S507421856,RAV4,2001,51528,WC-4-695
U083696056,Suburban,2011,9383,AM-3-689
A419140549,Continental Mark VII,1986,18726,NH-4-742
O994007940,A7,2012,3913,"9W-4-104"
U727679669,Panamera,2012,56938,"28-6-706"
W753704979,Town Car,1984,54093,NH-4-742
C519832744,Dakota Club,1998,31658,VT-2-774
Z682413490,"200SX",1997,8404,ZU-3-273
P068080157,Golf,1976,53440,J6-5-677
Y964770217,E150,2006,34620,WS-5-427
W620595212,Murci?lago,2010,26345,A1-3-856
E367889457,LR4,2010,12414,MK-1-473
I726372283,Colt,1993,43033,VT-2-774
O762054218,Celica,1984,42611,WC-4-695
J242475422,Durango,2011,5885,VT-2-774
D000588739,LUV,1979,60707,AM-3-689
N559802558,M,2011,28596,"25-0-342"
J823931810,Tundra,2012,12715,WC-4-695
Z963701862,Spider,1994,49688,NL-4-340
C208007928,TrailBlazer,2008,25624,AM-3-689
F975295799,Element,2008,62265,EM-4-254
L227364339,Ram 3500,2002,52456,VT-2-774
G820654071,F150,2010,39846,WS-5-427
S924542778,Armada,2011,12708,ZU-3-273
J555913705,"3 Series",2012,5589,"8M-8-354"
M571270600,XJ Series,1993,57288,"7V-2-415"
N829017635,Golf,1999,35090,J6-5-677
Q130053929,Firebird,1985,32370,"6K-2-796"
N310631720,"5 Series",2004,6491,"8M-8-354"
S574833626,Electra,1989,15917,H3-5-417
M132495197,Sierra 3500,2005,5312,BW-0-739
F682748950,Parisienne,1986,28001,"6K-2-796"
P232488760,FX,2003,54055,"25-0-342"
P915230680,Bonneville,1968,56640,"6K-2-796"
Z867999701,Familia,1989,6509,YA-6-313
Y976742792,Festiva,1993,60221,WS-5-427
P935083678,RL,2005,31132,"1S-9-185"
B084196350,GTO,2005,13503,"6K-2-796"
Y298194615,XL7,2009,52598,"73-8-545"
M689130696,Bronco,1987,6667,WS-5-427
E815222863,Solara,2005,27869,WC-4-695
U366695726,Malibu,2005,28722,AM-3-689
H449829513,RS4,2008,50232,"9W-4-104"
R635773128,Bonneville,1968,53867,"6K-2-796"
F060997652,CR-X,1985,44283,EM-4-254
B747617726,Grand Prix,1992,10726,"6K-2-796"
R577312368,VUE,2003,8418,IY-6-168
J041212491,Town Car,1992,59742,NH-4-742
K058027236,SLK-Class,2006,19393,NQ-7-363
Z443333129,"3500 Club Coupe",1998,33799,BW-0-739
K609636764,Traverse,2011,28119,AM-3-689
W910618849,Range Rover,1994,61092,MK-1-473
R130582001,XK Series,2000,1446,"7V-2-415"
Z924351832,Accord,2001,37811,EM-4-254
Q699067816,"850",1993,51165,"4C-1-283"
K723587986,Mariner,2010,12163,AC-9-820
J775050159,Excel,1993,6003,YR-6-654
R412337693,E-Class,1995,32123,NQ-7-363
M614930813,Suburban 1500,2008,14672,AM-3-689
X853640169,Cruze,2012,27174,AM-3-689
T561136829,Grand Marquis,1987,58213,AC-9-820
U149312097,Touareg,2009,49378,J6-5-677
G033448578,Cayenne,2009,7305,"28-6-706"
J491678908,Sportage,1996,16541,JF-8-150
D643509001,Th!nk,2001,31045,WS-5-427
W232206320,"928",1988,57611,"28-6-706"
T109334699,C-Class,2008,36526,NQ-7-363
S324222241,E-Series,1990,12672,WS-5-427
I708092063,Colt,1994,20759,"1Z-6-878"
K894039995,LeSabre,2003,3343,H3-5-417
D054059413,XT,1989,6763,T4-7-348
W897505049,Sentra,1991,42644,ZU-3-273
T370199533,Reliant,1981,48125,"1Z-6-878"
N035957814,"1500",1997,1283,BW-0-739
Z344296474,"2500",1997,7201,AM-3-689
B105119426,Outback,2011,37059,T4-7-348
A683929411,Range Rover Sport,2009,6649,MK-1-473
Q821585606,Tiburon,2008,39180,YR-6-654
R352841180,MINI,2002,43313,YG-5-396
I845834867,Nitro,2009,54460,VT-2-774
N901464701,V70,2004,9502,"4C-1-283"
O044466936,Entourage,2007,38059,YR-6-654
C201010609,"240SX",1995,58846,ZU-3-273
Z487583297,E-Series,1995,62575,WS-5-427
E811717783,S-Class,1993,7371,NQ-7-363
Q002817359,Ranger,1991,38880,WS-5-427
I233398397,Topaz,1988,24654,AC-9-820
Q492387292,Savana 3500,1998,7438,BW-0-739
D979609320,Bonneville,1995,32424,"6K-2-796"
X876481205,Sierra,2010,40365,BW-0-739
V229244274,Durango,1999,55605,VT-2-774
C514561183,"200SX",1998,38602,ZU-3-273
N116385652,Sportage,2006,49758,JF-8-150
M297455007,Galant,2006,24453,KS-8-136
A579331434,Accord,2009,5223,EM-4-254
D709233937,H1,2003,53812,"69-6-389"
Y997801125,Eos,2011,27983,J6-5-677
V449805327,Verona,2006,55756,"73-8-545"
B368113234,LeSabre,1991,55449,H3-5-417
P889322665,Sierra,2010,9648,BW-0-739
G203716806,MPV,2002,17673,YA-6-313
A961791986,Eos,2008,5996,J6-5-677
J510854278,Boxster,2000,18454,"28-6-706"
J047344802,F250,2003,62272,WS-5-427
L812258544,FX,2012,23744,"25-0-342"
D831672702,Mustang,1997,34715,WS-5-427
A166466904,Eclipse,2004,39591,KS-8-136
Z456199354,riolet,1992,15454,J6-5-677
K176351643,E-Class,2009,51729,NQ-7-363
B830436233,Mazda2,2012,15061,YA-6-313
Y891964551,CLK-Class,1999,17676,NQ-7-363
A160956704,Riviera,1996,702,H3-5-417
B636744337,CL-Class,2001,6287,NQ-7-363
D385016778,Eos,2011,48117,J6-5-677
K026812491,"3 Series",2004,8969,"8M-8-354"
R570139158,Range Rover Classic,1993,54906,MK-1-473
E135681803,A4,2002,62615,"9W-4-104"
P305890338,Passport,1999,51818,EM-4-254
T591395282,Reatta,1991,58272,H3-5-417
W289008589,Z4 M Roadster,2009,19626,"8M-8-354"
P150846934,S4,1992,11320,"9W-4-104"
A271805116,Outlander,2009,43806,KS-8-136
E175357140,Landaulet,2011,44251,"84-4-825"
S044186662,Econoline E150,2000,7522,WS-5-427
Q123892172,Continental Flying Spur,2006,58422,"0R-7-707"
Z555199505,M-Class,2008,21238,NQ-7-363
J904333374,S-Series,2002,5901,IY-6-168
E784009968,LX,2013,60542,"4V-8-237"
W912619559,Savana,2009,48938,BW-0-739
K812261493,Savana 3500,2002,9248,BW-0-739
O954427916,Terrain,2011,31952,BW-0-739
Q665259191,MX-6,1989,18398,YA-6-313
M725356266,Excel,1989,28224,KS-8-136
Y863676763,Neon,1997,21525,"1Z-6-878"
Y650564949,Seville,2003,62391,NO-0-531
I410742576,Avenger,1996,46227,VT-2-774
T512271460,Passat,1986,41317,J6-5-677
H779862592,"62",2003,25646,"84-4-825"
G260010171,Express 1500,1996,19269,AM-3-689
O662109539,Allroad,2005,2227,"9W-4-104"
K705268659,Yukon XL 2500,2010,8804,BW-0-739
N957741097,Miata MX-5,2006,44126,YA-6-313
M091697924,G-Series 2500,1996,5492,AM-3-689
F156774610,Lumina APV,1993,36292,AM-3-689
O567866364,Fox,1988,4321,J6-5-677
I766548012,Eos,2007,46943,J6-5-677
V018744775,Laser,1989,45901,WS-5-427
L670984596,XK Series,2004,38107,"7V-2-415"
Z818185168,Impala,2008,22790,AM-3-689
T944059683,Corolla,1998,51568,WC-4-695
J475235034,Maxima,1994,42816,ZU-3-273
N799018644,Galant,1988,2380,KS-8-136
M273259450,Legacy,1991,54988,T4-7-348
H926509436,RAV4,2011,922,WC-4-695
E877136034,Town Car,1993,36412,NH-4-742
X031594423,LS,1999,33898,"4V-8-237"
U651912698,Avalon,2001,54934,WC-4-695
S196022330,Milan,2008,5060,AC-9-820
Y607686841,Mark LT,2006,11055,NH-4-742
R875274234,Boxster,2010,25462,"28-6-706"
Q207875557,Mustang,2000,39335,WS-5-427
V979902429,Tracker,1998,55476,AM-3-689
G331029936,Mark VIII,1994,34580,NH-4-742
B759969052,Brat,1986,12373,T4-7-348
L305935200,Capri,1984,40598,AC-9-820
B777151844,A8,2006,31560,"9W-4-104"
A741260267,Tribute,2009,40765,YA-6-313
W382416244,Eos,2010,5655,J6-5-677
X731744938,Colt,1994,8152,"1Z-6-878"
H226558190,XC70,2005,6837,"4C-1-283"
B505558550,E350,2003,43766,WS-5-427
I797105086,Dakota Club,1999,9729,VT-2-774
T388631991,F150,2000,13645,WS-5-427
G130724118,Aerostar,1997,33310,WS-5-427
O746368510,Solara,2004,57759,WC-4-695
Y181160307,LTD Crown Victoria,1986,5370,WS-5-427
B373298949,Century,1999,8625,H3-5-417
F639289905,Sonoma,2003,30244,BW-0-739
H467769619,Viper,2004,30841,VT-2-774
W117456739,Paseo,1997,30886,WC-4-695
K099270521,Colt Vista,1993,22164,"1Z-6-878"
N774181426,Envoy,2008,19038,BW-0-739
J874284101,"2500",1993,14797,BW-0-739
W482750447,"228",1989,47194,"36-8-788"
W063270526,Daewoo Magnus,2006,6761,"73-8-545"
N185883782,Touareg,2008,47537,J6-5-677
N878402019,Frontier,2007,3571,ZU-3-273
